"id","no_surah","bilangan_ayat","muka_surat","juzuk","nama_english","nama_melayu","nama_arab","maksud_english","maksud_melayu","tempat_diturunkan","created_at","updated_at","deleted_at"
"82","82","19","587","30","Al-Infitaar","Al-Infitar","الإنفطار","The Cleaving","Terpecah & Terbelah","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"83","83","36","587","30","Al-Mutaffifiin","Al-Mutaffifin","المطففين","The Defrauding","Golongan yang Curang","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"84","84","25","589","30","Al-Insyiqaaq","Al-Inshiqaq","الإنشقاق","The Sundering","Terbelah","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"85","85","22","590","30","Al-Buruuj","Al-Buruj","البروج","The Mansions of the Stars","Gugusan Bintang","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"86","86","17","591","30","At-Taariq","At-Tariq","الطارق","The Nightcommer","Pengunjung Malam","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"87","87","19","591","30","Al-A'laa","Al-A'la","الأعلى","The Most High","Yang Tertinggi","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"88","88","26","592","30","Al-Ghaasyiyah","Al-Ghashiyah","الغاشية","The Overwhelming","Peristiwa Menggelisahkan/Hari Pembalasan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"89","89","30","593","30","Al-Fajr","Al-Fajr","الفجر","The Dawn","Fajar / Sinar Mentari","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"90","90","20","594","30","Al-Balad","Al-Balad","البلد","The City","Negeri","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"91","91","15","595","30","Asy-Syams","Ash-Shams","الشمس","The Sun","Matahari","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"92","92","21","595","30","Al-Lail","Al-Lail","الليل","The Night","Malam","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"93","93","11","596","30","Adh-Dhuha","Ad-Duha","الضحى","The Morning Hours","Pagi yang Cemerlang / Matahari Meninggi","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"94","94","8","596","30","Al-Insyiraah","Al-Inshirah","الشرح","The Relief","Melapangkan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"95","95","8","597","30","At-Tiin","At-Tin","التين","The Fig","Buah Tin / Buah Ara","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"96","96","19","597","30","Al-'Alaq","Al-'Alaq","العلق","The Clot","Segumpal Darah","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"97","97","5","598","30","Al-Qadr","Al-Qadr","القدر","The Power","Kemuliaan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"98","98","8","598","30","Al-Bayyinah","Al-Bayyinah","البينة","The Clear Proof","Bukti yang Nyata","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"99","99","8","599","30","Az-Zalzalah","Al-Zalzalah","الزلزلة","The Earthquake","Kegoncangan","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"100","100","11","599","30","Al-'Aadiyaat","Al-'Adiyat","العاديات","The Courser","Yang Berlari Kencang","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"101","101","11","600","30","Al-Qaari'ah","Al-Qari'ah","القارعة","The Calamity","Hari Yang Hingar Bingar / Kiamat","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"102","102","8","600","30","At-Takaathur","At-Takathur","التكاثر","The Rivalry in world increase","Bermegah-megah","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
